Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
HUST_Gearbox,Diagnosis,Cond_L4_VS_0_40_0,SVM (RBF),0.9333333333333332,0.7103174603174602,0.0
HUST_Gearbox,Diagnosis,Cond_L4_VS_0_40_0,Multi-Head DL (MLP),1.0,1.0,1.0
HUST_Gearbox,Diagnosis,Cond_L4_VS_0_40_0,Multi-Head DL (TABNET),1.0,1.0,1.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,Random Forest,0.39999999999999997,0.17460317460317462,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,SVM (RBF),0.49999999999999994,0.2738888888888889,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,Multi-Head DL (MLP),0.43333333333333335,0.37606837606837606,0.625
CWRU_48k,Diagnosis,Load_0HP_Sev_0.007,Multi-Head DL (TABNET),0.5,0.38888888888888884,0.8233333333333333
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,Random Forest,0.85,0.8465473145780051,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,SVM (RBF),0.4,0.20512820512820515,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,Multi-Head DL (MLP),0.5,0.3333333333333333,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.014,Multi-Head DL (TABNET),0.0,0.0,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,Random Forest,0.9166666666666666,0.9365079365079364,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,SVM (RBF),0.6666666666666666,0.3904761904761905,0.0
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,Multi-Head DL (MLP),0.6666666666666666,0.48148148148148145,0.7392857142857142
CWRU_48k,Diagnosis,Load_0HP_Sev_0.021,Multi-Head DL (TABNET),0.6666666666666666,0.48148148148148145,0.9166666666666666
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,Random Forest,0.9833333333333334,0.9833229101521784,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,SVM (RBF),0.8166666666666668,0.8016677935542033,0.0
