Dataset,Task,Test Condition,Pipeline,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_12k,Diagnosis,Load_0HP,frequency,Random Forest,0.25,0.03125,0.5
CWRU_12k,Diagnosis,Load_0HP,frequency,SVM,0.25,0.11538461538461539,0.5
CWRU_12k,Diagnosis,Load_0HP,frequency,XGBoost,0.25,0.12025316455696203,0.5
CWRU_12k,Diagnosis,Load_1HP,frequency,Random Forest,0.25,0.1144578313253012,0.5
CWRU_12k,Diagnosis,Load_1HP,frequency,SVM,0.25,0.10975609756097561,0.5
CWRU_12k,Diagnosis,Load_1HP,frequency,XGBoost,0.25,0.1144578313253012,0.5
CWRU_12k,Diagnosis,Load_2HP,frequency,Random Forest,0.25,0.05555555555555555,0.5
CWRU_12k,Diagnosis,Load_2HP,frequency,SVM,0.25,0.10975609756097561,0.5
CWRU_12k,Diagnosis,Load_2HP,frequency,XGBoost,0.25,0.1144578313253012,0.5
CWRU_12k,Diagnosis,Load_3HP,frequency,Random Forest,0.25,0.05555555555555555,0.5
CWRU_12k,Diagnosis,Load_3HP,frequency,SVM,0.25,0.10975609756097561,0.5
CWRU_12k,Diagnosis,Load_3HP,frequency,XGBoost,0.25,0.1144578313253012,0.5
CWRU_48k,Diagnosis,Load_0HP,frequency,Random Forest,0.3333333333333333,0.15151515151515152,0.5
CWRU_48k,Diagnosis,Load_0HP,frequency,SVM,0.3333333333333333,0.17391304347826086,0.5
CWRU_48k,Diagnosis,Load_0HP,frequency,XGBoost,0.3333333333333333,0.17391304347826086,0.5
CWRU_48k,Diagnosis,Load_1HP,frequency,Random Forest,0.3333333333333333,0.15789473684210525,0.5
CWRU_48k,Diagnosis,Load_1HP,frequency,SVM,0.3333333333333333,0.17094017094017092,0.5
CWRU_48k,Diagnosis,Load_1HP,frequency,XGBoost,0.3333333333333333,0.17094017094017092,0.5
CWRU_48k,Diagnosis,Load_2HP,frequency,Random Forest,0.3333333333333333,0.16666666666666666,0.5
CWRU_48k,Diagnosis,Load_2HP,frequency,SVM,0.3333333333333333,0.16666666666666666,0.5
CWRU_48k,Diagnosis,Load_2HP,frequency,XGBoost,0.3333333333333333,0.16666666666666666,0.5
CWRU_48k,Diagnosis,Load_3HP,frequency,Random Forest,0.3333333333333333,0.16666666666666666,0.5
CWRU_48k,Diagnosis,Load_3HP,frequency,SVM,0.3333333333333333,0.16666666666666666,0.5
CWRU_48k,Diagnosis,Load_3HP,frequency,XGBoost,0.3333333333333333,0.16666666666666666,0.5
